University,State
Catholic University of America,DC
Chicago State University,IL
CUNY Queens College,NY
Dalhousie University,NS
Dominican University,IL
Drexel University,PA
East Carolina University,NC
Emporia State University,KS
Florida State University,FL
Indiana University Bloomington,IN
Indiana University Indianapolis,IN
Kent State University,OH
Long Island University,NY
Louisiana State University,LA
McGill University,QC
North Carolina Central University,NC
Old Dominion University,VA
Pennsylvania Western University Clarion,PA
Pratt Institute,NY
Rutgers University,NJ
San Jose State University,CA
Simmons University,MA
Southern Connecticut State University,CT
St. Catherine University,MN
St. John's University,NY
State University of New York Albany,NY
State University of New York Buffalo,NY
Syracuse University,NY
Texas Woman's University,TX
Université de Montréal,QC
University of Alabama,AL
University of Alberta,AB
University of Arizona,AZ
University of British Columbia,BC
University of California Los Angeles,CA
University of Denver,CO
University of Hawaii,HI
University of Illinois Urbana-Champaign,IL
University of Iowa,IA
University of Kentucky,KY
University of Maryland,MD
University of Michigan,MI
University of Missouri,MO
University of North Carolina Chapel Hill,NC
University of North Carolina Greensboro,NC
University of North Texas,TX
University of Oklahoma,OK
University of Ottawa,ON
University of Pittsburgh,PA
University of Puerto Rico,PR
University of Rhode Island,RI
University of South Carolina,SC
University of South Florida,FL
University of Southern California,CA
University of Southern Mississippi,MS
University of Tennessee Knoxville,TN
University of Texas Austin,TX
University of Toronto,ON
University of Washington,WA
University of Wisconsin Madison,WI
University of Wisconsin Milwaukee,WI
Valdosta State University,GA
Wayne State University,MI
Western University,ON
